Count,Code,Description,Retail,Date,Cost,Supplier,Book,Total,Category,,,,,,,,
,,33k 1/2 watt - bulk older - see IC containers,,,,,,$0.00,14,,,,,,,,
40,,3.3k ohm 1 watt,,,,,$0.16,$6.40,14,,,,,,,,
,,,,,,,$0.00,$0.00,14,,,,,,,,
1,,3.3k ohm 7 watt,,,,,$0.65,$0.65,14,,,,,,,,
1,,3.9k ohm 1/2 watt metal,,,,,$0.16,$0.16,14,,,,,,,,
10,,3.9k ohm 1/2 watt,,,,,$0.06,$0.60,14,,,,,,,,
10,R1210,2.2 ohm 1/2 watt,$0.30,30/10/2004,$0.11,D/S,$0.11,$1.10,14,,,,,,,,
24,,3.3m ohm 1/2 watt,,,,,$0.06,$1.44,14,,,,,,,,
15,,3.3m ohm 1 watt,,,,,$0.17,$2.55,14,,,,,,,,
0,,,,,,,$0.00,$0.00,14,,,,,,,,
6,R1442,47 ohm 1 watt,,,,D/S,$0.11,$0.66,14,,,,,,,,
46,,470k ohm 1/2 watt,,,,,$0.06,$2.76,14,,,,,,,,
3,,47k ohm 1/2 watt,,,,,$0.06,$0.18,14,,,,,,,,
65,,47k ohm 1 watt,,,,,$0.17,$11.05,14,,,,,,,,
1,RWWC4R7J,4.7 ohm 5 watt,,8/08/2011,$0.60,T/T,$0.60,$0.60,14,,,,,,,,
36,,4.7k ohm 5 watt,,,,Elcoma,$0.35,$12.60,14,,,,,,,,
3,,4.7m ohm focus,,,,,$0.49,$1.47,14,,,,,,,,
4,,VDR Zinc Oxide Varistor 250VAC 60J 2500A 10mm,,8/06/2013,$0.25,eBay,$0.00,$0.00,14,,,,,,,,
88,,470 ohm 1W metal ,$0.40,11/08/2016,$0.03,eBay,$0.00,$0.00,14,,,,,,,,
16,,560 ohm 7 watt,,,,,$0.65,$10.40,14,,,,,,,,
10,,560 ohm 5 watt,,,,,$0.35,$3.50,14,,,,,,,,
9,,25øC 5 Ohm NTC 5D-11 Thermistor 4 Amp,,30/01/2013,$0.25,eBay,$0.00,$0.00,14,,,,,,,,
19,,56 ohm 1/2W metal,$0.40,1/06/2016,$0.10,eBay,$0.00,$0.00,14,,,,,,,,
66,,5.6k ohm 2 watt,,,,,$0.25,$16.50,14,,,,,,,,
1,,5.6k ohm 1/2 watt,,,,,$0.06,$0.06,14,,,,,,,,
6,,5.6m ohm 1/2 watt,,,,,$0.06,$0.36,14,,,,,,,,
23,,6.8 ohm 1/2 watt,,,,,$0.06,$1.38,14,,,,,,,,
1,,6.8 ohm 1 watt,,,,,$0.17,$0.17,14,,,,,,,,
2,,6.8 ohm 20 watt,,,,,$2.03,$4.06,14,,,,,,,,
1,,68 ohm 1/2 watt,,,,,$0.06,$0.06,14,,,,,,,,
41,,680 ohm 1/2 watt,,,,,$0.06,$2.46,14,,,,,,,,
257,,680 ohm .5% black,,,$0.16,,$0.06,$15.42,14,,,,,,,,
3,,680k ohm 2 watt,,,,,$0.25,$0.75,14,,,,,,,,
58,,68k ohm 1/2 watt,,,,,$0.06,$3.48,14,,,,,,,,
5,,82 ohm 1 watt,,,,,$0.17,$0.85,14,,,,,,,,
1,,82 ohm 2 watt,,,,,$0.25,$0.25,14,,,,,,,,
